Empresa,Vendas e Serviços Prestados (€),EBITDA (€),EBIT (€),Resultado Antes de Impostos (€),Resultado Líquido (€),Total do Ativo (€),Capital Próprio (€),Autonomia Financeira (%),Gastos com Pessoal (€),Nº Médio Trabalhadores,Margem EBITDA (%),Margem Líquida (%),Endividamento Líquido / EBITDA (x)
ALGAR,37092081,7485055,947355,-1909045,-1658874,89912608,16192743,18.0,11684160,459,20.2,-4.5,3.43
AMARSUL,36260189,8715650,3990821,1413540,689071,103116790,22660066,22.0,13093002,415,24.0,1.9,3.40
ERSUC,36640335,8150967,2281639,257767,117325,99121406,29306572,29.6,9610160,412,22.2,0.3,3.16
RESIESTRELA,7081972,1912338,766363,446487,384290,25624846,13433092,52.4,2242881,91,27.0,5.4,1.52
RESINORTE,31018601,7980246,2539776,47820,7261,106255299,39208919,36.9,9001835,366,25.7,0.0,3.20
RESULIMA,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
SULDOURO,16312051,4571397,1517269,725327,337941,50512988,16437714,32.5,4125832,169,28.0,2.1,2.99
VALORLIMA,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
VALORLIS,13300616,3321349,1574178,832198,688976,37397328,12051885,32.2,4104036,165,25.0,5.2,3.10
VALORSUL,79760976,20728554,12138743,10440823,8259432,142391089,63453617,44.6,21048307,477,26.0,10.4,0.93
